2)regulatorName,3)RegulatorGeneName,5)regulatedName,6)function,7)confidenceLevel 
RpsH,rpsH,rpsE,-,S 
RpsH,rpsH,rpsH,-,S 
RpsH,rpsH,rpsN,-,S 
RpsH,rpsH,rpmJ,-,S 
RpsO,rpsO,rpsO,-,C 
CsrA,csrA,moaA,+,C 
CsrA,csrA,moaB,+,C 
CsrA,csrA,moaD,+,C 
CsrA,csrA,moaE,+,C 
CsrA,csrA,moaC,+,C 
CsrA,csrA,rpoE,-,C 
CsrA,csrA,idlP,-,S 
CsrA,csrA,ytiC,-,S 
CsrA,csrA,ytiD,-,S 
CsrA,csrA,ymdA,+,S 
CsrA,csrA,iraD,-,S 
GcvB,gcvB,aroC,-,W 
GcvB,gcvB,aroP,-,W 
GcvB,gcvB,asd,-,W 
GcvB,gcvB,asnA,-,W 
GcvB,gcvB,asnB,-,W 
GcvB,gcvB,cstA,-,S 
GcvB,gcvB,dppA,-,W 
GcvB,gcvB,gdhA,-,S 
GcvB,gcvB,gltP,-,W 
GcvB,gcvB,icd,-,W 
GcvB,gcvB,ilvB,-,W 
GcvB,gcvB,ilvD,-,S 
GcvB,gcvB,ilvM,-,W 
GcvB,gcvB,kgtP,-,W 
GcvB,gcvB,lrp,-,S 
GcvB,gcvB,map,-,S 
GcvB,gcvB,nlpA,-,W 
GcvB,gcvB,oppA,-,W 
GcvB,gcvB,oppB,-,W 
GcvB,gcvB,oppC,-,W 
GcvB,gcvB,oppD,-,W 
GcvB,gcvB,oppF,-,W 
GcvB,gcvB,oxyR,+,W 
GcvB,gcvB,phoP,-,S 
GcvB,gcvB,phoQ,-,S 
GcvB,gcvB,rbsA,-,W 
GcvB,gcvB,rbsB,-,W 
GcvB,gcvB,rbsC,-,W 
GcvB,gcvB,rbsD,-,W 
GcvB,gcvB,rbsK,-,W 
GcvB,gcvB,rbsR,-,W 
GcvB,gcvB,trpA,-,W 
GcvB,gcvB,trpB,-,W 
GcvB,gcvB,trpC,-,W 
GcvB,gcvB,trpD,-,W 
GcvB,gcvB,trpE,-,W 
GcvB,gcvB,ilvL,-,W 
GcvB,gcvB,trpL,-,W 
GcvB,gcvB,ivbL,-,W 
GcvB,gcvB,inaA,-,W 
GcvB,gcvB,acs,-,W 
GcvB,gcvB,ydeE,-,S 
GcvB,gcvB,panD,-,W 
GcvB,gcvB,purU,-,W 
GcvB,gcvB,hisQ,-,W 
GcvB,gcvB,cycA,-,W 
GcvB,gcvB,dppB,-,W 
GcvB,gcvB,dppC,-,W 
GcvB,gcvB,dppD,-,W 
GcvB,gcvB,dppF,-,W 
GcvB,gcvB,sstT,-,W 
GcvB,gcvB,rbsZ,-,W 
GcvB,gcvB,csgG,-,W 
GcvB,gcvB,csgF,-,W 
GcvB,gcvB,csgE,-,W 
GcvB,gcvB,csgD,-,W 
GcvB,gcvB,tcyJ,-,W 
GcvB,gcvB,rbn,+,W 
GcvB,gcvB,mltC,-,W 
GcvB,gcvB,ysgA,-,W 
McaS,mcaS,flhC,+,W 
McaS,mcaS,flhD,+,S 
McaS,mcaS,csgG,-,S 
McaS,mcaS,csgF,-,S 
McaS,mcaS,csgE,-,S 
McaS,mcaS,csgD,-,S 
GadY,gadY,gadW,+,W 
GadY,gadY,gadX,+,W 
MicF,micF,cpxR,-,W 
MicF,micF,cpxA,-,W 
MicF,micF,lrp,-,S 
MicF,micF,ompF,-,W 
MicF,micF,oppA,+,W 
MicF,micF,phoE,-,W 
MicF,micF,tcyJ,-,W 
OxyS,oxyS,fhlA,-,W 
OxyS,oxyS,flhC,-,S 
OxyS,oxyS,flhD,-,S 
OxyS,oxyS,rpoS,-,W 
OxyS,oxyS,nusG,-,W 
ChiX,chiX,chbC,-,W 
ChiX,chiX,chiZ,-,S 
ChiX,chiX,dpiB,-,S 
ChiX,chiX,dpiA,-,S 
ChiX,chiX,chiP,-,S 
ChiX,chiX,chiQ,-,S 
SgrS,sgrS,asd,-,W 
SgrS,sgrS,manX,-,S 
SgrS,sgrS,manY,-,S 
SgrS,sgrS,manZ,-,S 
SgrS,sgrS,ptsG,-,S 
SgrS,sgrS,purR,-,S 
SgrS,sgrS,yeiB,-,S 
SgrS,sgrS,folE,-,S 
SgrS,sgrS,yigL,+,W 
SgrS,sgrS,adiY,-,S 
IstR-1,istR,tisB,-,S 
RseX,rseX,fimB,-,S 
RseX,rseX,ihfB,-,S 
RseX,rseX,ompA,-,W 
RseX,rseX,ompC,-,W 
RydC,rydC,pheA,-,S 
RydC,rydC,trpA,+,S 
RydC,rydC,trpB,+,S 
RydC,rydC,trpC,+,S 
RydC,rydC,trpD,+,S 
RydC,rydC,trpE,+,S 
RydC,rydC,trpL,+,S 
RydC,rydC,cfa,+,S 
RydC,rydC,csgG,-,W 
RydC,rydC,csgF,-,W 
RydC,rydC,csgE,-,W 
RydC,rydC,csgD,-,W 
OhsC,ohsC,shoB,-,W 
SymR,symR,symE,-,W 
MgrR,mgrR,soxS,-,S 
MgrR,mgrR,pitA,-,W 
MgrR,mgrR,eptB,-,W 
MgrR,mgrR,ygdQ,-,W 
FnrS,fnrS,cydC,-,W 
FnrS,fnrS,glpD,-,W 
FnrS,fnrS,metE,-,W 
FnrS,fnrS,maeA,-,S 
FnrS,fnrS,sodA,-,W 
FnrS,fnrS,sodB,-,S 
FnrS,fnrS,yeiB,-,W 
FnrS,fnrS,folE,-,W 
FnrS,fnrS,cydD,-,W 
FnrS,fnrS,marA,-,W 
FnrS,fnrS,gpmA,-,S 
FnrS,fnrS,azuC,-,W 
FnrS,fnrS,yebY,-,W 
FnrS,fnrS,yebZ,-,W 
FnrS,fnrS,yobA,-,W 
FnrS,fnrS,folX,-,W 
FnrS,fnrS,yfcH,-,W 
FnrS,fnrS,iscR,-,S 
FnrS,fnrS,azuR,-,W 
ArrS,arrS,cfa,+,S 
ArrS,arrS,gadE,+,W 
ArrS,arrS,gadF,+,W 
SdsN,sdsN,hmp,-,S 
SdsN,sdsN,nfsA,-,S 
SdsN,sdsN,narP,-,S 
AgrB,agrB,dinQ,-,W 
RalA,ralA,ralR,-,S 
MicL-S,micL,lpp,-,S 
CpxQ,cpxQ,skp,-,W 
CpxQ,cpxQ,cfa,-,S 
CpxQ,cpxQ,cpxP,-,W 
SdhX,sdhX,ackA,-,S 
SdhX,sdhX,fdhE,-,S 
SdhX,sdhX,katG,-,S 
SdhX,sdhX,fdoI,-,S 
SdhX,sdhX,fdoH,-,S 
SdhX,sdhX,fdoG,-,S 
C0293,C0293,fadR,-,S 
C0293,C0293,iroK,-,S 
C0293,C0293,hcaR,-,S 
MalH,malH,ompC,-,W 
RprA,rprA,rpoS,+,S 
RprA,rprA,hdeD,-,W 
RprA,rprA,narP,-,S 
RprA,rprA,lrhA,-,W 
RprA,rprA,csgG,-,S 
RprA,rprA,csgF,-,S 
RprA,rprA,csgE,-,S 
RprA,rprA,csgD,-,S 
RprA,rprA,dgcM,-,S 
RybB,rybB,fadL,-,W 
RybB,rybB,nmpC,-,S 
RybB,rybB,ompC,-,W 
RybB,rybB,ompF,-,S 
RybB,rybB,rbsB,-,S 
RybB,rybB,sdhC,-,S 
RybB,rybB,tsx,-,W 
RybB,rybB,ompW,-,W 
RybB,rybB,maoP,+,W 
RybB,rybB,rluD,-,S 
RybB,rybB,fiu,-,S 
RybB,rybB,csgG,-,S 
RybB,rybB,csgF,-,S 
RybB,rybB,csgE,-,S 
RybB,rybB,csgD,-,S 
SdsR,sdsR,mutS,-,W 
SdsR,sdsR,tolC,-,S 
SdsR,sdsR,zapG,-,S 
CyaR,cyaR,rpoS,-,S 
CyaR,cyaR,nadE,-,S 
CyaR,cyaR,hdeD,-,S 
CyaR,cyaR,ompX,-,W 
CyaR,cyaR,yacL,-,W 
CyaR,cyaR,luxS,-,S 
CyaR,cyaR,yliM,-,W 
CyaR,cyaR,yobF,-,S 
CyaR,cyaR,yqaE,-,S 
OmrB,omrB,cirA,-,S 
OmrB,omrB,fepA,-,S 
OmrB,omrB,flhC,-,S 
OmrB,omrB,flhD,-,S 
OmrB,omrB,ompR,-,S 
OmrB,omrB,ompT,-,S 
OmrB,omrB,flgM,-,S 
OmrB,omrB,csgG,-,S 
OmrB,omrB,csgF,-,S 
OmrB,omrB,csgE,-,S 
OmrB,omrB,csgD,-,S 
OmrB,omrB,dgcM,-,S 
SibC,sibC,ibsC,-,W 
Spf,spf,yjiA,-,W 
Spf,spf,araF,-,S 
Spf,spf,ascF,-,S 
Spf,spf,ebgC,-,W 
Spf,spf,fucI,-,W 
Spf,spf,fucK,-,W 
Spf,spf,fucP,-,S 
Spf,spf,galK,-,W 
Spf,spf,gdhA,-,S 
Spf,spf,glpF,-,W 
Spf,spf,gltA,-,W 
Spf,spf,sdhC,-,W 
Spf,spf,maeA,-,W 
Spf,spf,sucC,-,W 
Spf,spf,sthA,-,S 
Spf,spf,caiA,-,W 
Spf,spf,atoD,-,W 
Spf,spf,lldP,-,W 
Spf,spf,dppB,+,W 
Spf,spf,gss,+,W 
Spf,spf,xylF,-,W 
Spf,spf,nanT,-,S 
Spf,spf,puuE,-,S 
Spf,spf,paaK,-,W 
Spf,spf,ytfJ,-,W 
Spf,spf,nanC,-,S 
Spf,spf,srlA,-,S 
MicA,micA,fimB,-,W 
MicA,micA,lamB,-,W 
MicA,micA,ompA,-,S 
MicA,micA,pal,-,W 
MicA,micA,phoP,-,S 
MicA,micA,phoQ,-,S 
MicA,micA,tolB,-,W 
MicA,micA,tsx,-,S 
MicA,micA,ompW,-,W 
MicA,micA,ompX,-,S 
MicA,micA,ygiM,-,W 
MicA,micA,cpoB,-,W 
MicA,micA,yliM,-,S 
MicA,micA,ecnB,-,W 
MicA,micA,ldtC,-,W 
MicA,micA,gloA,-,W 
MicA,micA,lpxT,-,W 
MicA,micA,yfeK,-,W 
