regulator,gene_name,gene_id,effect,evidence,source
PuuR,puuA,b1297,-,2,RegulonDB_TF
PlaR,plaR,b3574,-,2,RegulonDB_TF
PuuR,puuE,b1302,-,2,RegulonDB_TF
PlaR,glpA,b2241,-,2,RegulonDB_TF
PlaR,eda,b1850,-,2,RegulonDB_TF
PuuR,puuD,b1298,-,2,RegulonDB_TF
Fnr,dmsC,b0896,+,2,RegulonDB_TF
Fnr,dmsB,b0895,+,2,RegulonDB_TF
Fnr,dmsA,b0894,+,2,RegulonDB_TF
Fnr,cysG,b3368,+,2,RegulonDB_TF
FrlR,frlC,b4474,-,2,RegulonDB_TF
FeaR,feaB,b1385,+,2,RegulonDB_TF
GlaR,glaH,b2659,-,2,RegulonDB_TF
MraZ,mraZ,b0081,-,2,RegulonDB_TF
H-NS,yciF,b1258,-,2,RegulonDB_TF
H-NS,yciG,b1259,-,2,RegulonDB_TF
MraZ,murD,b0088,-,2,RegulonDB_TF
MraZ,murE,b0085,-,2,RegulonDB_TF
MraZ,murF,b0086,-,2,RegulonDB_TF
MarR,marB,b1532,-,2,RegulonDB_TF
MarR,marR,b1530,-,2,RegulonDB_TF
MarR,marA,b1531,-,2,RegulonDB_TF
MraZ,murG,b0090,-,2,RegulonDB_TF
MraZ,rsmH,b0082,-,2,RegulonDB_TF
MraZ,murC,b0091,-,2,RegulonDB_TF
GadRcs,gadA,b3517,+,2,RegulonDB_TF
MraZ,ftsL,b0083,-,2,RegulonDB_TF
GadRcs,gadX,b3516,+,2,RegulonDB_TF
PhoB,sbcD,b0398,-,2,RegulonDB_TF
PhoB,ugpQ,b3449,-+,2,RegulonDB_TF
H-NS,hdeA,b3510,-,2,RegulonDB_TF
H-NS,hdeB,b3509,-,2,RegulonDB_TF
H-NS,yhiD,b3508,-,2,RegulonDB_TF
H-NS,dps,b0812,-,2,RegulonDB_TF
H-NS,yciE,b1257,-,2,RegulonDB_TF
MraZ,mraY,b0087,-,2,RegulonDB_TF
FeaR,tynA,b1386,+,2,RegulonDB_TF
H-NS,proW,b2678,-,2,RegulonDB_TF
FadR,fadI,b2342,-,2,RegulonDB_TF
FadR,fadJ,b2341,-,2,RegulonDB_TF
RpoS,fbaA,b2925,+,2,RegulonDB_sigma
FadR,fadE,b0221,-,2,RegulonDB_TF
MraZ,ddlB,b0092,-,2,RegulonDB_TF
H-NS,nrdA,b2234,-,2,RegulonDB_TF
H-NS,nrdB,b2235,-,2,RegulonDB_TF
MraZ,lpxC,b0096,-,2,RegulonDB_TF
MraZ,ftsA,b0094,-,2,RegulonDB_TF
MraZ,ftsI,b0084,-,2,RegulonDB_TF
FadR,fabH,b1091,+,2,RegulonDB_TF
FadR,uspA,b3495,-,2,RegulonDB_TF
FadR,fabG,b1093,+,2,RegulonDB_TF
FadR,fabD,b1092,+,2,RegulonDB_TF
H-NS,ftnA,b1905,-,2,RegulonDB_TF
FadR,iclR,b4018,+,2,RegulonDB_TF
MraZ,ftsQ,b0093,-,2,RegulonDB_TF
FadR,fadL,b2344,-,2,RegulonDB_TF
MraZ,ftsW,b0089,-,2,RegulonDB_TF
MraZ,ftsZ,b0095,-,2,RegulonDB_TF
Fnr,ccmC,b2199,+,2,RegulonDB_TF
Fnr,ccmA,b2201,+,2,RegulonDB_TF
RpoS,csgB,b1041,+,2,RegulonDB_sigma
CsrA,pgaD,b1021,-,2,RegulonDB_TF
MalT,malP,b3417,+,2,RegulonDB_TF
LexA,uvrB,b0779,-,2,RegulonDB_TF
ArcA,gltA,b0720,-,2,RegulonDB_TF
Fur,fhuF,b4367,-,2,RegulonDB_TF
RpoD,aceE,b0114,+,2,RegulonDB_sigma
RpoD,aceF,b0115,+,2,RegulonDB_sigma
LsrR,lsrK,b1511,-,2,RegulonDB_TF
LsrR,lsrR,b1512,-,2,RegulonDB_TF
LexA,recN,b2616,-,2,RegulonDB_TF
LexA,recD,b2819,-,2,RegulonDB_TF
LexA,recB,b2820,-,2,RegulonDB_TF
LsrR,lsrA,b1513,-,2,RegulonDB_TF
LexA,ptrA,b2821,-,2,RegulonDB_TF
LsrR,lsrC,b1514,-,2,RegulonDB_TF
LsrR,lsrD,b1515,-,2,RegulonDB_TF
LsrR,lsrB,b1516,-,2,RegulonDB_TF
LsrR,lsrF,b1517,-,2,RegulonDB_TF
LsrR,lsrG,b1518,-,2,RegulonDB_TF
LsrR,tam,b1519,-,2,RegulonDB_TF
CsrA,sdiA,b1916,-,2,RegulonDB_TF
ArcA,icd,b1136,-,2,RegulonDB_TF
MalT,malM,b4037,+,2,RegulonDB_TF
MalT,malK,b4035,+,2,RegulonDB_TF
MalT,malG,b4032,+,2,RegulonDB_TF
NanR,nanY,b4280,-,2,RegulonDB_TF
LexA,ydjM,b1728,-,2,RegulonDB_TF
LexA,dinI,b1061,-,2,RegulonDB_TF
RutR,rutF,b1007,-,2,RegulonDB_TF
RutR,rutE,b1008,-,2,RegulonDB_TF
RutR,rutD,b1009,-,2,RegulonDB_TF
RutR,rutC,b1010,-,2,RegulonDB_TF
RutR,rutB,b1011,-,2,RegulonDB_TF
RutR,rutA,b1012,-,2,RegulonDB_TF
NanR,nanS,b4309,-,2,RegulonDB_TF
NanR,nanE,b3223,-,2,RegulonDB_TF
MalT,malF,b4033,+,2,RegulonDB_TF
NanR,nanK,b3222,-,2,RegulonDB_TF
NanR,nanQ,b3221,-,2,RegulonDB_TF
NanR,nanT,b3224,-,2,RegulonDB_TF
NanR,nanX,b4279,-,2,RegulonDB_TF
NanR,nanA,b3225,-,2,RegulonDB_TF
NanR,fimB,b4312,+,2,RegulonDB_TF
MalT,lamB,b4036,+,2,RegulonDB_TF
LexA,dinF,b4044,-,2,RegulonDB_TF
MalT,malE,b4034,+,2,RegulonDB_TF
LexA,lexA,b4043,-,2,RegulonDB_TF
CsrA,pgaC,b1022,-,2,RegulonDB_TF
SrsR,yafL,b0227,+,2,RegulonDB_TF
CsrA,pgaB,b1023,-,2,RegulonDB_TF
SrsR,fucP,b2801,+,2,RegulonDB_TF
SrsR,fucR,b2805,+,2,RegulonDB_TF
AgaR,agaD,b3140,-,2,RegulonDB_TF
AgaR,agaI,b3141,-,2,RegulonDB_TF
AtoC,atoD,b2221,+,2,RegulonDB_TF
AtoC,atoA,b2222,+,2,RegulonDB_TF
AtoC,atoE,b2223,+,2,RegulonDB_TF
AtoC,atoB,b2224,+,2,RegulonDB_TF
DgoR,dgoA,b4477,-,2,RegulonDB_TF
DgoR,dgoK,b3693,-,2,RegulonDB_TF
DgoR,dgoT,b3691,-,2,RegulonDB_TF
DgoR,dgoR,b4479,-,2,RegulonDB_TF
DgoR,dgoD,b4478,-,2,RegulonDB_TF
SrsR,fucU,b2804,+,2,RegulonDB_TF
RpoD,argF,b0273,+,2,RegulonDB_sigma
LeuO,leuO,b0076,-+,2,RegulonDB_TF
RpoD,argO,b2923,+,2,RegulonDB_sigma
PhoP,treR,b4241,-,2,RegulonDB_TF
PhoP,mgtA,b4242,+,2,RegulonDB_TF
SrsR,yafQ,b0225,+,2,RegulonDB_TF
PhoP,mgtL,b4702,+,2,RegulonDB_TF
SrsR,fucO,b2799,+,2,RegulonDB_TF
AgaR,agaR,b3131,-,2,RegulonDB_TF
SrsR,fucK,b2803,+,2,RegulonDB_TF
ArcA,lpd,b0116,-,2,RegulonDB_TF
CsrA,pgaA,b1024,-,2,RegulonDB_TF
SelB-Sec-tRNA,selA,b3591,-,2,RegulonDB_TF
SelB-Sec-tRNA,selB,b3590,-,2,RegulonDB_TF
NtrC,astC,b1748,+,2,RegulonDB_TF
NtrC,astA,b1747,+,2,RegulonDB_TF
S6:S18 ribosomal subunit complex,priB,b4201,-,2,RegulonDB_TF
S6:S18 ribosomal subunit complex,rplI,b4203,-,2,RegulonDB_TF
S6:S18 ribosomal subunit complex,rpsF,b4200,-,2,RegulonDB_TF
S6:S18 ribosomal subunit complex,rpsR,b4202,-,2,RegulonDB_TF
NtrC,astD,b1746,+,2,RegulonDB_TF
SrsR,fucI,b2802,+,2,RegulonDB_TF
NtrC,astB,b1745,+,2,RegulonDB_TF
NtrC,astE,b1744,+,2,RegulonDB_TF
PhoP,ompT,b0565,+,2,RegulonDB_TF
