,gene_id,database,kegg_id
561,b0134,KEGG_pathway,map01110
562,b0135,KEGG_pathway,-
563,b0136,KEGG_pathway,-
564,b0137,KEGG_pathway,-
565,b0138,KEGG_pathway,-
567,b0139,KEGG_pathway,map05133
568,b0140,KEGG_pathway,-
569,b0141,KEGG_pathway,-
572,b0142,KEGG_pathway,map00790
573,b0142,KEGG_pathway,map01100
575,b0143,KEGG_pathway,map03018
576,b0144,KEGG_pathway,-
578,b0145,KEGG_pathway,map02026
579,b0146,KEGG_pathway,-
580,b0147,KEGG_pathway,-
581,b0148,KEGG_pathway,-
583,b0149,KEGG_pathway,map00550
584,b0150,KEGG_pathway,-
586,b0151,KEGG_pathway,map02010
588,b0152,KEGG_pathway,map02010
590,b0153,KEGG_pathway,map02010
595,b0154,KEGG_pathway,map00860
596,b0154,KEGG_pathway,map01100
597,b0154,KEGG_pathway,map01110
598,b0154,KEGG_pathway,map01120
599,b0155,KEGG_pathway,-
600,b0156,KEGG_pathway,-
601,b0157,KEGG_pathway,-
603,b0158,KEGG_pathway,map02010
607,b0159,KEGG_pathway,map00270
608,b0159,KEGG_pathway,map01100
609,b0159,KEGG_pathway,map01230
611,b0160,KEGG_pathway,map00230
614,b0161,KEGG_pathway,map01503
615,b0161,KEGG_pathway,map02020
616,b0162,KEGG_pathway,-
617,b0163,KEGG_pathway,-
618,b0164,KEGG_pathway,-
623,b0166,KEGG_pathway,map00300
624,b0166,KEGG_pathway,map01100
625,b0166,KEGG_pathway,map01120
626,b0166,KEGG_pathway,map01230
628,b0167,KEGG_pathway,map02020
629,b0168,KEGG_pathway,-
631,b0169,KEGG_pathway,map03010
632,b0170,KEGG_pathway,-
635,b0171,KEGG_pathway,map00240
636,b0171,KEGG_pathway,map01100
637,b0172,KEGG_pathway,-
642,b0173,KEGG_pathway,map00900
643,b0173,KEGG_pathway,map01100
644,b0173,KEGG_pathway,map01110
645,b0173,KEGG_pathway,map01130
648,b0174,KEGG_pathway,map00900
649,b0174,KEGG_pathway,map01110
654,b0175,KEGG_pathway,map00564
655,b0175,KEGG_pathway,map01100
656,b0175,KEGG_pathway,map01110
657,b0175,KEGG_pathway,map04070
660,b0176,KEGG_pathway,map02024
661,b0176,KEGG_pathway,map04112
662,b0177,KEGG_pathway,-
663,b0178,KEGG_pathway,-
666,b0179,KEGG_pathway,map00540
667,b0179,KEGG_pathway,map01100
672,b0180,KEGG_pathway,map00061
673,b0180,KEGG_pathway,map00780
674,b0180,KEGG_pathway,map01100
675,b0180,KEGG_pathway,map01212
679,b0181,KEGG_pathway,map00540
680,b0181,KEGG_pathway,map01100
681,b0181,KEGG_pathway,map01503
684,b0182,KEGG_pathway,map00540
685,b0182,KEGG_pathway,map01100
687,b0183,KEGG_pathway,map03030
694,b0184,KEGG_pathway,map00230
695,b0184,KEGG_pathway,map00240
696,b0184,KEGG_pathway,map01100
697,b0184,KEGG_pathway,map03030
698,b0184,KEGG_pathway,map03430
699,b0184,KEGG_pathway,map03440
710,b0185,KEGG_pathway,map00061
711,b0185,KEGG_pathway,map00620
712,b0185,KEGG_pathway,map00640
713,b0185,KEGG_pathway,map00720
714,b0185,KEGG_pathway,map01100
715,b0185,KEGG_pathway,map01110
716,b0185,KEGG_pathway,map01120
717,b0185,KEGG_pathway,map01130
718,b0185,KEGG_pathway,map01200
719,b0185,KEGG_pathway,map01212
725,b0186,KEGG_pathway,map00310
726,b0186,KEGG_pathway,map00330
727,b0186,KEGG_pathway,map00960
728,b0186,KEGG_pathway,map01100
729,b0186,KEGG_pathway,map01110
730,b0187,KEGG_pathway,-
731,b0188,KEGG_pathway,-
732,b0189,KEGG_pathway,-
733,b4406,KEGG_pathway,-
734,b0190,KEGG_pathway,-
735,b0191,KEGG_pathway,-
737,b0192,KEGG_pathway,map01503
738,b0193,KEGG_pathway,-
740,b0194,KEGG_pathway,map00970
741,b0195,KEGG_pathway,-
743,b0196,KEGG_pathway,map02020
745,b0197,KEGG_pathway,map02010
747,b0198,KEGG_pathway,map02010
749,b0199,KEGG_pathway,map02010
752,b0200,KEGG_pathway,map00540
753,b0200,KEGG_pathway,map01100
754,b0207,KEGG_pathway,-
755,b0208,KEGG_pathway,-
756,b0209,KEGG_pathway,-
757,b0210,KEGG_pathway,-
758,b0211,KEGG_pathway,-
760,b0212,KEGG_pathway,map00620
761,b0213,KEGG_pathway,-
763,b0214,KEGG_pathway,map03030
770,b0215,KEGG_pathway,map00230
771,b0215,KEGG_pathway,map00240
772,b0215,KEGG_pathway,map01100
773,b0215,KEGG_pathway,map03030
774,b0215,KEGG_pathway,map03430
775,b0215,KEGG_pathway,map03440
776,b0217,KEGG_pathway,-
777,b4586,KEGG_pathway,-
779,b0219,KEGG_pathway,map00250
780,b0220,KEGG_pathway,-
784,b0221,KEGG_pathway,map00071
785,b0221,KEGG_pathway,map01100
786,b0221,KEGG_pathway,map01212
789,b0222,KEGG_pathway,map00540
790,b0222,KEGG_pathway,map01100
791,b0223,KEGG_pathway,-
792,b0224,KEGG_pathway,-
793,b0225,KEGG_pathway,-
794,b0226,KEGG_pathway,-
797,b0227,KEGG_pathway,map00520
798,b0227,KEGG_pathway,map01100
799,b0228,KEGG_pathway,-
800,b0231,KEGG_pathway,-
801,b0232,KEGG_pathway,-
802,b0233,KEGG_pathway,-
803,b0234,KEGG_pathway,-
806,b0237,KEGG_pathway,map00480
807,b0237,KEGG_pathway,map01100
811,b0238,KEGG_pathway,map00230
812,b0238,KEGG_pathway,map01100
813,b0238,KEGG_pathway,map01110
814,b0239,KEGG_pathway,-
815,b4710,KEGG_pathway,-
816,b4709,KEGG_pathway,-
819,b0241,KEGG_pathway,map01501
820,b0241,KEGG_pathway,map02020
826,b0242,KEGG_pathway,map00330
827,b0242,KEGG_pathway,map00332
828,b0242,KEGG_pathway,map01100
829,b0242,KEGG_pathway,map01130
830,b0242,KEGG_pathway,map01230
837,b0243,KEGG_pathway,map00330
838,b0243,KEGG_pathway,map00332
839,b0243,KEGG_pathway,map01100
840,b0243,KEGG_pathway,map01110
841,b0243,KEGG_pathway,map01130
842,b0243,KEGG_pathway,map01230
843,b0245,KEGG_pathway,-
844,b0246,KEGG_pathway,-
845,b4504,KEGG_pathway,-
846,b0247,KEGG_pathway,-
847,b0248,KEGG_pathway,-
848,b0249,KEGG_pathway,-
849,b0250,KEGG_pathway,-
851,b0251,KEGG_pathway,map03440
852,b0252,KEGG_pathway,-
853,b0253,KEGG_pathway,-
855,b0254,KEGG_pathway,map02026
856,b4587,KEGG_pathway,-
857,b0256,KEGG_pathway,-
860,b0258,KEGG_pathway,map00760
861,b0258,KEGG_pathway,map01120
862,b0259,KEGG_pathway,-
863,b0260,KEGG_pathway,-
867,b0261,KEGG_pathway,map00270
868,b0261,KEGG_pathway,map01100
869,b0261,KEGG_pathway,map01110
871,b0262,KEGG_pathway,map02010
872,b0264,KEGG_pathway,-
873,b0265,KEGG_pathway,-
874,b0266,KEGG_pathway,-
875,b0267,KEGG_pathway,-
884,b0268,KEGG_pathway,map00040
885,b0268,KEGG_pathway,map00261
886,b0268,KEGG_pathway,map00300
887,b0268,KEGG_pathway,map01100
888,b0268,KEGG_pathway,map01110
889,b0268,KEGG_pathway,map01120
890,b0268,KEGG_pathway,map01130
891,b0268,KEGG_pathway,map01230
893,b0269,KEGG_pathway,map00040
894,b0270,KEGG_pathway,-
897,b0271,KEGG_pathway,map00520
898,b0271,KEGG_pathway,map01100
899,b0272,KEGG_pathway,-
905,b0273,KEGG_pathway,map00220
906,b0273,KEGG_pathway,map01100
907,b0273,KEGG_pathway,map01110
908,b0273,KEGG_pathway,map01130
909,b0273,KEGG_pathway,map01230
910,b0274,KEGG_pathway,-
911,b0275,KEGG_pathway,-
912,b0276,KEGG_pathway,-
913,b0277,KEGG_pathway,-
914,b0278,KEGG_pathway,-
915,b0279,KEGG_pathway,-
916,b4729,KEGG_pathway,-
917,b0281,KEGG_pathway,-
918,b0282,KEGG_pathway,-
919,b0283,KEGG_pathway,-
923,b0284,KEGG_pathway,map00230
924,b0284,KEGG_pathway,map01100
925,b0284,KEGG_pathway,map01120
929,b0285,KEGG_pathway,map00230
930,b0285,KEGG_pathway,map01100
931,b0285,KEGG_pathway,map01120
935,b0286,KEGG_pathway,map00230
936,b0286,KEGG_pathway,map01100
937,b0286,KEGG_pathway,map01120
938,b0287,KEGG_pathway,-
939,b0288,KEGG_pathway,-
940,b0289,KEGG_pathway,-
941,b0290,KEGG_pathway,-
942,b0291,KEGG_pathway,-
943,b0292,KEGG_pathway,-
944,b0293,KEGG_pathway,-
945,b0294,KEGG_pathway,-
947,b4506,KEGG_pathway,map03010
949,b0296,KEGG_pathway,map03010
950,b0298,KEGG_pathway,-
951,b0299,KEGG_pathway,-
952,b0301,KEGG_pathway,-
953,b0303,KEGG_pathway,-
954,b0304,KEGG_pathway,-
955,b0305,KEGG_pathway,-
956,b0306,KEGG_pathway,-
957,b0307,KEGG_pathway,-
958,b0308,KEGG_pathway,-
959,b0310,KEGG_pathway,-
962,b0311,KEGG_pathway,map00260
963,b0311,KEGG_pathway,map01100
966,b0312,KEGG_pathway,map00260
967,b0312,KEGG_pathway,map01100
968,b0313,KEGG_pathway,-
969,b0314,KEGG_pathway,-
970,b0315,KEGG_pathway,-
971,b0316,KEGG_pathway,-
972,b0317,KEGG_pathway,-
973,b0318,KEGG_pathway,-
974,b0319,KEGG_pathway,-
975,b0320,KEGG_pathway,-
976,b0321,KEGG_pathway,-
983,b0323,KEGG_pathway,map00220
984,b0323,KEGG_pathway,map00230
985,b0323,KEGG_pathway,map00910
986,b0323,KEGG_pathway,map01100
987,b0323,KEGG_pathway,map01120
988,b0323,KEGG_pathway,map01200
992,b0324,KEGG_pathway,map00240
993,b0324,KEGG_pathway,map00330
994,b0324,KEGG_pathway,map01100
995,b0325,KEGG_pathway,-
996,b0328,KEGG_pathway,-
997,b0329,KEGG_pathway,-
998,b0330,KEGG_pathway,-
1000,b0331,KEGG_pathway,map00640
1002,b0333,KEGG_pathway,map00640
1004,b0334,KEGG_pathway,map00640
1007,b0335,KEGG_pathway,map00640
1008,b0335,KEGG_pathway,map01100
1009,b0336,KEGG_pathway,-
1013,b0337,KEGG_pathway,map00240
1014,b0337,KEGG_pathway,map00330
1015,b0337,KEGG_pathway,map01100
1016,b0338,KEGG_pathway,-
1018,b0339,KEGG_pathway,map00910
1020,b0340,KEGG_pathway,map00910
1021,b0341,KEGG_pathway,-
1022,b0342,KEGG_pathway,-
1023,b0343,KEGG_pathway,-
1028,b0344,KEGG_pathway,map00052
1029,b0344,KEGG_pathway,map00511
1030,b0344,KEGG_pathway,map00600
1031,b0344,KEGG_pathway,map01100
1032,b0345,KEGG_pathway,-
1033,b0346,KEGG_pathway,-
1037,b0347,KEGG_pathway,map00360
1038,b0347,KEGG_pathway,map01120
1039,b0347,KEGG_pathway,map01220
1044,b0348,KEGG_pathway,map00360
1045,b0348,KEGG_pathway,map00627
1046,b0348,KEGG_pathway,map01120
1047,b0348,KEGG_pathway,map01220
1053,b0349,KEGG_pathway,map00360
1054,b0349,KEGG_pathway,map00621
1055,b0349,KEGG_pathway,map01100
1056,b0349,KEGG_pathway,map01120
1057,b0349,KEGG_pathway,map01220
1065,b0350,KEGG_pathway,map00360
1066,b0350,KEGG_pathway,map00362
1067,b0350,KEGG_pathway,map00621
1068,b0350,KEGG_pathway,map00622
1069,b0350,KEGG_pathway,map01100
1070,b0350,KEGG_pathway,map01120
1071,b0350,KEGG_pathway,map01220
1081,b0351,KEGG_pathway,map00360
1082,b0351,KEGG_pathway,map00362
1083,b0351,KEGG_pathway,map00620
1084,b0351,KEGG_pathway,map00621
1085,b0351,KEGG_pathway,map00622
1086,b0351,KEGG_pathway,map00650
1087,b0351,KEGG_pathway,map01100
1088,b0351,KEGG_pathway,map01120
1089,b0351,KEGG_pathway,map01220
1102,b0352,KEGG_pathway,map00290
1103,b0352,KEGG_pathway,map00360
1104,b0352,KEGG_pathway,map00362
1105,b0352,KEGG_pathway,map00620
1106,b0352,KEGG_pathway,map00621
1107,b0352,KEGG_pathway,map00622
1108,b0352,KEGG_pathway,map01100
1109,b0352,KEGG_pathway,map01110
1110,b0352,KEGG_pathway,map01120
1111,b0352,KEGG_pathway,map01210
1112,b0352,KEGG_pathway,map01220
1113,b0352,KEGG_pathway,map01230
1114,b0353,KEGG_pathway,-
1115,b0354,KEGG_pathway,-
1119,b0355,KEGG_pathway,map00680
1120,b0355,KEGG_pathway,map01120
1121,b0355,KEGG_pathway,map01200
1138,b0356,KEGG_pathway,map00010
1139,b0356,KEGG_pathway,map00071
1140,b0356,KEGG_pathway,map00350
1141,b0356,KEGG_pathway,map00625
1142,b0356,KEGG_pathway,map00626
1143,b0356,KEGG_pathway,map00680
1144,b0356,KEGG_pathway,map00830
1145,b0356,KEGG_pathway,map00980
1146,b0356,KEGG_pathway,map00982
1147,b0356,KEGG_pathway,map01100
1148,b0356,KEGG_pathway,map01110
1149,b0356,KEGG_pathway,map01120
1150,b0356,KEGG_pathway,map01130
1151,b0356,KEGG_pathway,map01200
1152,b0356,KEGG_pathway,map01220
1153,b0356,KEGG_pathway,map05204
1154,b0357,KEGG_pathway,-
1155,b0358,KEGG_pathway,-
1156,b4579,KEGG_pathway,-
1157,b0360,KEGG_pathway,-
1158,b0361,KEGG_pathway,-
1159,b0363,KEGG_pathway,-
1160,b0364,KEGG_pathway,-
1163,b0365,KEGG_pathway,map00920
1164,b0365,KEGG_pathway,map02010
1167,b0366,KEGG_pathway,map00920
1168,b0366,KEGG_pathway,map02010
1171,b0367,KEGG_pathway,map00920
1172,b0367,KEGG_pathway,map02010
1175,b0368,KEGG_pathway,map00430
1176,b0368,KEGG_pathway,map00920
1181,b0369,KEGG_pathway,map00860
1182,b0369,KEGG_pathway,map01100
1183,b0369,KEGG_pathway,map01110
1184,b0369,KEGG_pathway,map01120
1185,b4580,KEGG_pathway,-
1186,b0372,KEGG_pathway,-
1187,b0373,KEGG_pathway,-
1188,b0375,KEGG_pathway,-
1189,b0376,KEGG_pathway,-
1190,b0377,KEGG_pathway,-
1191,b0378,KEGG_pathway,-
1192,b0379,KEGG_pathway,-
1193,b0380,KEGG_pathway,-
1198,b0381,KEGG_pathway,map00473
1199,b0381,KEGG_pathway,map00550
1200,b0381,KEGG_pathway,map01100
1201,b0381,KEGG_pathway,map01502
1202,b0382,KEGG_pathway,-
1207,b0383,KEGG_pathway,map00730
1208,b0383,KEGG_pathway,map00790
1209,b0383,KEGG_pathway,map01100
1210,b0383,KEGG_pathway,map02020
1211,b0384,KEGG_pathway,-
1213,b0385,KEGG_pathway,map02026
1219,b0386,KEGG_pathway,map00330
1220,b0386,KEGG_pathway,map01100
1221,b0386,KEGG_pathway,map01110
1222,b0386,KEGG_pathway,map01130
1223,b0386,KEGG_pathway,map01230
1224,b0387,KEGG_pathway,-
1230,b0388,KEGG_pathway,map00400
1231,b0388,KEGG_pathway,map01100
1232,b0388,KEGG_pathway,map01110
1233,b0388,KEGG_pathway,map01130
1234,b0388,KEGG_pathway,map01230
1235,b0389,KEGG_pathway,-
1236,b0390,KEGG_pathway,-
1239,b0391,KEGG_pathway,map00230
1240,b0391,KEGG_pathway,map00240
1241,b0393,KEGG_pathway,-
1254,b0394,KEGG_pathway,map00010
1255,b0394,KEGG_pathway,map00051
1256,b0394,KEGG_pathway,map00052
1257,b0394,KEGG_pathway,map00500
1258,b0394,KEGG_pathway,map00520
1259,b0394,KEGG_pathway,map00521
1260,b0394,KEGG_pathway,map00524
1261,b0394,KEGG_pathway,map01100
1262,b0394,KEGG_pathway,map01110
1263,b0394,KEGG_pathway,map01120
1264,b0394,KEGG_pathway,map01130
1265,b0394,KEGG_pathway,map01200
1266,b0396,KEGG_pathway,-
1267,b0397,KEGG_pathway,-
1268,b0398,KEGG_pathway,-
1270,b0399,KEGG_pathway,map02020
1272,b0400,KEGG_pathway,map02020
1273,b0401,KEGG_pathway,-
1274,b0402,KEGG_pathway,-
1278,b0403,KEGG_pathway,map00052
1279,b0403,KEGG_pathway,map00500
1280,b0403,KEGG_pathway,map01100
1282,b0404,KEGG_pathway,map00770
